SampleID	Experiment_type	Radiation	Cell_type	Time_point
DVL3_1	Graft	0	Mesenchymal	Final
DVL3_2	Graft	0	Mesenchymal	Final
DVL3_3	Graft	0	Mesenchymal	Final
DVL3_4	Graft	0	Epithelial	Final
DVL3_5	Graft	0	Epithelial	Early
DVL3_6	Graft	0	Epithelial	Early
DVL3_7	Graft	0	Epithelial	Final
DVL3_8	Graft	0	Epithelial	Early
DVL3_9	Graft	0	Epithelial	Final
DVL3_10	Cell_line	0	Epithelial	N/A
DVL3_11	Cell_line	0	Epithelial	N/A
DVL3_12	Cell_line	0	Epithelial	N/A
DVL3_13	Cell_line	0	Mesenchymal	N/A
DVL3_14	Cell_line	0	Mesenchymal	N/A
DVL3_15	Cell_line	0	Mesenchymal	N/A
DVL3_RAD_1	Graft	0	Epithelial	N/A
DVL3_RAD_2	Graft	0	Epithelial	N/A
DVL3_RAD_3	Graft	2x5	Epithelial	N/A
DVL3_RAD_4	Graft	2x5	Epithelial	N/A
DVL3_RAD_5	Graft	0	Epithelial	N/A
DVL3_RAD_6	Graft	0	Epithelial	N/A
DVL3_RAD_7	Graft	8	Epithelial	N/A
DVL3_RAD_8	Graft	2x5	Epithelial	N/A
DVL3_RAD_9	Graft	8	Epithelial	N/A
DVL3_RAD_10	Cell_line	0	Epithelial	N/A
DVL3_RAD_11	Cell_line	2x5	Epithelial	N/A
DVL3_RAD_12	Cell_line	8	Epithelial	N/A
DVL3_RAD_13	Cell_line	0	Epithelial	N/A
DVL3_RAD_14	Cell_line	2x5	Epithelial	N/A
DVL3_RAD_15	Cell_line	8	Epithelial	N/A
DVL3_RAD_16	Cell_line	0	Epithelial	N/A
DVL3_RAD_17	Cell_line	2x5	Epithelial	N/A
DVL3_RAD_18	Cell_line	8	Epithelial	N/A
